Distance_(microns)	Gray_Value
2.55758	0
2.56123	0
2.56488	0
2.56852	0
2.57217	0
2.57582	0
2.57947	0
2.58312	0
2.58677	189.622
2.59041	103.902
2.59406	187.213
2.59771	0
2.60136	0
2.60501	0
2.60866	0
2.61231	0
2.61595	0
2.61960	145.463
2.62325	106.500
2.62690	124.683
2.63055	0
2.63420	0
2.63784	0
2.64149	0
2.64514	0
2.64879	129.878
2.65244	55.848
2.65609	0
2.65974	0
2.66338	0
2.66703	0
2.67068	0
2.67433	71.433
2.67798	0
2.68163	85.720
2.68527	311.707
2.68892	14.287
2.69257	213.000
2.69622	106.500
2.69987	0
2.70352	0
2.70717	98.707
2.71081	71.433
2.71446	0
2.71811	0
2.72176	0
2.72541	106.500
2.72906	72.732
2.73271	55.848
2.73635	0
2.74000	27.274
2.74365	187.024
2.74730	1.299
2.75095	181.829
2.75460	29.872
2.75824	0
2.76189	58.445
2.76554	0
2.76919	106.500
2.77284	0
2.77649	9.091
2.78014	0
2.78378	0
2.78743	0
2.79108	40.262
2.79473	161.049
2.79838	0
2.80203	0
2.80567	0
2.80932	0
2.81297	0
2.81662	0
2.82027	0
2.82392	0
2.82757	3.896
2.83121	0
2.83486	0
2.83851	0
2.84216	0
2.84581	0
2.84946	106.500
2.85310	0
2.85675	0
2.86040	0
2.86405	0
2.86770	0
2.87135	45.457
2.87500	0
2.87864	0
2.88229	5.195
2.88594	94.811
2.88959	0
2.89324	0
2.89689	103.902
2.90053	68.835
2.90418	46.756
2.90783	97.409
2.91148	0
2.91513	106.500
2.91878	67.537
2.92243	0
2.92607	0
2.92972	0
2.93337	0
2.93702	105.201
2.94067	25.976
2.94432	0
2.94796	0
2.95161	0
2.95526	0
2.95891	0
2.96256	0
2.96621	0
2.96986	0
2.97350	142.866
2.97715	0
2.98080	0
2.98445	0
2.98810	92.213
2.99175	0
2.99539	0
2.99904	0
3.00269	63.640
3.00634	213.000
3.00999	142.866
3.01364	41.561
3.01729	106.500
3.02093	197.415
3.02458	22.079
3.02823	0
3.03188	55.848
3.03553	129.878
3.03918	0
3.04282	0
3.04647	0
3.05012	0
3.05377	76.628
3.05742	0
3.06107	48.055
3.06472	0
3.06836	87.018
3.07201	0
3.07566	9.091
3.07931	166.244
3.08296	37.665
3.08661	0
3.09026	0
3.09390	0
3.09755	0
3.10120	0
3.10485	0
3.10850	0
3.11215	122.085
3.11579	93.512
3.11944	74.030
3.12309	36.366
3.12674	209.104
3.13039	213.000
3.13404	24.677
3.13769	0
3.14133	53.250
3.14498	0
3.14863	0
3.15228	0
3.15593	0
3.15958	176.634
3.16322	32.470
3.16687	119.488
3.17052	122.085
3.17417	62.341
