ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"10:40:31"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   1543895
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	      95.34245
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,  92.718"	" 2,  93.489"	" 3,  94.095"	" 4,  94.323"	" 5,  94.155"	" 6,  93.453"	" 7,  93.613"	" 8,  94.443"	" 9,  95.505"	"10,  95.342"	
  7.68000E-002	  5.09876E-002	  5.20131E-002	  4.79240E-002	  4.94774E-002	  5.05854E-002	  5.16348E-002	  5.00176E-002	  4.87182E-002	  5.56227E-002	  5.42253E-002	  4.96572E-002	
  8.32000E-002	  4.90560E-002	  5.08846E-002	  4.55284E-002	  4.28376E-002	  5.06328E-002	  4.80938E-002	  5.25006E-002	  5.05058E-002	  4.96786E-002	  5.24096E-002	  4.74883E-002	
  8.96000E-002	  4.78096E-002	  4.89960E-002	  5.04819E-002	  4.52212E-002	  4.45131E-002	  4.92780E-002	  4.77043E-002	  4.77306E-002	  4.45592E-002	  5.09102E-002	  4.87019E-002	
  9.60000E-002	  4.74544E-002	  4.90095E-002	  4.85635E-002	  4.91362E-002	  5.11839E-002	  4.77652E-002	  4.48902E-002	  4.33820E-002	  4.47761E-002	  4.76890E-002	  4.81488E-002	
  1.02400E-001	  4.56671E-002	  4.34711E-002	  4.39541E-002	  4.54507E-002	  4.91172E-002	  4.68426E-002	  4.48217E-002	  4.63565E-002	  4.54759E-002	  4.53529E-002	  4.58284E-002	
  1.15200E-001	  4.29368E-002	  4.52454E-002	  4.09052E-002	  4.45695E-002	  4.13530E-002	  4.36767E-002	  4.20261E-002	  4.48606E-002	  4.32394E-002	  4.12838E-002	  4.22080E-002	
  1.28000E-001	  4.11827E-002	  4.14239E-002	  3.97430E-002	  3.92472E-002	  4.03735E-002	  4.15858E-002	  4.06404E-002	  4.10086E-002	  4.24001E-002	  4.35361E-002	  4.18678E-002	
  1.40800E-001	  3.91168E-002	  3.92512E-002	  3.87342E-002	  4.05791E-002	  3.91030E-002	  4.09383E-002	  3.75765E-002	  3.94795E-002	  3.93360E-002	  3.92346E-002	  3.69356E-002	
  1.53600E-001	  3.79017E-002	  3.82353E-002	  3.76013E-002	  3.58917E-002	  3.57290E-002	  3.92350E-002	  3.79529E-002	  3.79420E-002	  3.93300E-002	  3.71670E-002	  3.99323E-002	
  1.66400E-001	  3.49454E-002	  3.40934E-002	  3.45559E-002	  3.46550E-002	  3.36948E-002	  3.74968E-002	  3.35068E-002	  3.42355E-002	  3.45657E-002	  3.56182E-002	  3.70317E-002	
  1.79200E-001	  3.36262E-002	  3.49433E-002	  3.24447E-002	  3.42890E-002	  3.35315E-002	  3.48520E-002	  3.45976E-002	  3.18286E-002	  3.32902E-002	  3.35727E-002	  3.29128E-002	
  1.92000E-001	  3.21881E-002	  3.28910E-002	  3.12026E-002	  3.11032E-002	  3.26744E-002	  3.20853E-002	  3.29367E-002	  3.15757E-002	  3.24640E-002	  3.29482E-002	  3.19994E-002	
  2.04800E-001	  3.04230E-002	  3.12692E-002	  2.98089E-002	  3.17036E-002	  2.92718E-002	  2.91111E-002	  2.98386E-002	  3.13054E-002	  2.98254E-002	  3.16930E-002	  3.04030E-002	
