ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"09:18:10"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	    301205
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	     104.93505
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1, 103.612"	" 2, 103.605"	" 3, 103.657"	" 4, 104.483"	" 5, 104.918"	" 6, 104.651"	" 7, 104.407"	" 8, 104.888"	" 9, 105.270"	"10, 104.935"	
  2.20000E-003	  4.19713E-001	  4.60363E-001	  4.64841E-001	  4.28160E-001	  4.36641E-001	  4.19264E-001	  4.07247E-001	  4.03164E-001	  3.84432E-001	  4.01758E-001	  3.91257E-001	
  2.40000E-003	  4.41803E-001	  4.86609E-001	  4.75683E-001	  4.77116E-001	  4.59306E-001	  4.33622E-001	  4.25013E-001	  4.21579E-001	  4.17214E-001	  4.08573E-001	  4.13318E-001	
  2.60000E-003	  4.48987E-001	  4.93939E-001	  4.99851E-001	  4.75471E-001	  4.59794E-001	  4.39378E-001	  4.28088E-001	  4.38847E-001	  4.17549E-001	  4.23092E-001	  4.13862E-001	
  2.80000E-003	  4.34899E-001	  5.00276E-001	  4.82501E-001	  4.65432E-001	  4.56954E-001	  4.16780E-001	  4.08952E-001	  4.18566E-001	  4.10209E-001	  4.03368E-001	  3.85957E-001	
  3.00000E-003	  4.16582E-001	  4.62195E-001	  4.78665E-001	  4.39751E-001	  4.14969E-001	  4.30958E-001	  4.02498E-001	  3.90026E-001	  3.81929E-001	  3.96101E-001	  3.68726E-001	
  3.20000E-003	  3.89226E-001	  4.38605E-001	  4.37869E-001	  4.16615E-001	  3.98284E-001	  3.92002E-001	  3.74258E-001	  3.63911E-001	  3.62822E-001	  3.55847E-001	  3.52049E-001	
  3.60000E-003	  3.24367E-001	  3.58297E-001	  3.66838E-001	  3.25087E-001	  3.31473E-001	  3.22557E-001	  3.15114E-001	  3.24519E-001	  3.06850E-001	  2.90770E-001	  3.02166E-001	
  4.00000E-003	  2.62929E-001	  2.98544E-001	  2.83180E-001	  2.87226E-001	  2.63670E-001	  2.54118E-001	  2.48535E-001	  2.54124E-001	  2.57195E-001	  2.46936E-001	  2.35764E-001	
  4.40000E-003	  2.16751E-001	  2.46611E-001	  2.44178E-001	  2.31597E-001	  2.15492E-001	  2.08838E-001	  2.11420E-001	  2.09615E-001	  2.00155E-001	  2.02492E-001	  1.97116E-001	
  4.80000E-003	  1.85440E-001	  2.00432E-001	  2.01510E-001	  1.88840E-001	  1.85077E-001	  1.73373E-001	  1.68787E-001	  1.84027E-001	  1.93874E-001	  1.81745E-001	  1.76735E-001	
