ALV-7002/USB-25
Date :	"13/03/2025"
Time :	"10:48:27"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
FloatDur [ms]   :	        29989
Stop TP [ms]   :	   2767151
Runs            :	        10
Mode            :	"A-CH0 "
MeanCR0 [kHz]   :	       2.36438
MeanCR1 [kHz]   :	       0.00000
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation (Multi, Averaged)"
"Lag [ms]"	"Average"	" 1,   1.972"	" 2,   1.980"	" 3,   2.029"	" 4,   2.033"	" 5,   1.999"	" 6,   2.082"	" 7,   2.298"	" 8,   2.405"	" 9,   2.456"	"10,   2.364"	
  4.80000E-003	  3.05962E+000	  3.30892E+000	  3.09688E+000	  3.08851E+000	  3.42969E+000	  2.76057E+000	  3.67275E+000	  2.77422E+000	  3.10900E+000	  2.67441E+000	  2.68127E+000	
  5.20000E-003	  2.53922E+000	  3.73767E+000	  2.09400E+000	  3.63499E+000	  3.45001E+000	  2.46645E+000	  2.19208E+000	  1.77934E+000	  2.35928E+000	  1.89499E+000	  1.78340E+000	
  5.60000E-003	  1.95198E+000	  2.30136E+000	  1.66724E+000	  1.79314E+000	  2.39339E+000	  1.50005E+000	  2.92280E+000	  1.81093E+000	  1.69608E+000	  1.95066E+000	  1.48411E+000	
  6.00000E-003	  1.47838E+000	  1.37955E+000	  1.26182E+000	  1.61098E+000	  1.29612E+000	  1.45803E+000	  1.44214E+000	  8.95007E-001	  1.65282E+000	  1.83932E+000	  1.94801E+000	
  6.40000E-003	  1.10024E+000	  8.97212E-001	  1.25115E+000	  1.09485E+000	  1.15389E+000	  1.32147E+000	  1.56713E+000	  8.08152E-001	  1.09775E+000	  7.60655E-001	  1.05014E+000	
  7.20000E-003	  7.16553E-001	  8.22181E-001	  2.69606E-001	  5.78730E-001	  8.69410E-001	  5.02128E-001	  8.94097E-001	  9.66069E-001	  9.60783E-001	  7.53696E-001	  5.48825E-001	
  8.00000E-003	  5.77692E-001	  3.71995E-001	  9.09744E-001	  8.92452E-001	  4.73176E-001	  9.22304E-001	  5.38353E-001	  2.47546E-001	  5.21049E-001	  2.31763E-001	  6.68541E-001	
  8.80000E-003	  4.07642E-001	  7.04275E-001	  5.04323E-001	  7.20411E-001	  6.25574E-001	  4.28597E-001	 -1.53906E-001	  4.60734E-001	  4.85005E-001	  3.69076E-002	  2.64499E-001	
  9.60000E-003	  3.47424E-001	  7.25712E-001	  2.48268E-001	  1.23327E-001	  3.61418E-001	  1.97501E-001	 -1.15447E-001	  3.34401E-001	  2.61533E-001	  5.86677E-001	  7.50845E-001	
  1.04000E-002	  2.64269E-001	  6.82837E-001	 -8.24694E-002	  6.79931E-001	  1.59837E-002	  4.07588E-001	  4.71050E-001	 -3.68331E-001	  2.75951E-001	  7.86623E-002	  4.81485E-001	
  1.12000E-002	  3.34922E-001	  9.93680E-001	 -1.99828E-001	  6.19211E-001	  3.20779E-001	  7.33225E-001	  4.22977E-001	  6.59413E-002	  5.57093E-001	 -1.44029E-001	 -1.98259E-002	
  1.20000E-002	  1.23472E-001	  2.96964E-001	 -5.04625E-002	  4.06689E-001	 -4.33599E-003	  5.12632E-001	  2.30683E-001	  2.23859E-001	  1.64355E-002	 -1.87653E-002	 -3.78974E-001	
  1.28000E-002	  1.74588E-001	  1.62979E-001	  8.82335E-002	  1.53725E-001	  9.72619E-002	  3.91831E-001	  3.55673E-001	  1.29108E-001	  2.43511E-001	  1.13457E-001	  1.01026E-002	
  1.44000E-002	  1.22790E-001	  1.73698E-001	 -2.26501E-001	  2.29628E-001	  3.76657E-001	 -1.33388E-001	  3.12407E-001	 -9.59243E-002	  2.14676E-001	  1.30855E-001	  2.45793E-001	
  1.60000E-002	  2.56853E-001	  3.18401E-001	  2.32264E-001	 -3.14119E-003	  3.20778E-001	  3.28805E-001	  3.46058E-001	  3.83053E-002	  1.28171E-001	  2.35242E-001	  6.23646E-001	
  1.76000E-002	  1.67181E-001	  1.68339E-001	  2.05592E-001	 -3.85626E-002	  4.07137E-001	  2.94299E-002	  1.77801E-001	  1.44899E-001	  1.35380E-001	  2.59599E-001	  1.82194E-001	
  1.92000E-002	  9.60846E-002	 -3.16042E-003	  1.35508E-002	  1.99267E-001	 -2.97360E-002	  2.97292E-001	 -1.93003E-002	  7.77846E-002	  3.80613E-002	  1.41294E-001	  2.45793E-001	
  2.08000E-002	  7.26757E-002	  6.65112E-002	 -6.11319E-002	  3.10591E-001	  1.48061E-001	  8.42116E-003	  7.20394E-002	 -4.06533E-002	 -4.12351E-002	  1.34335E-001	  1.29818E-001	
  2.24000E-002	  1.27872E-001	 -1.53222E-001	  3.81630E-001	  1.89146E-001	  1.58221E-001	  2.41777E-002	 -3.37223E-002	  2.51493E-001	  2.57928E-001	  2.00446E-001	  2.62039E-003	
  2.40000E-002	  7.41618E-002	  6.11518E-002	  1.46913E-001	 -2.86512E-001	  1.02342E-001	  1.92248E-001	 -1.39484E-001	  2.27806E-001	  7.05007E-002	  6.47436E-002	  3.01910E-001	
  2.56000E-002	  8.24461E-002	  5.31119E-002	  1.65582E-001	 -1.59980E-001	  2.09019E-001	  1.84369E-001	 -6.97782E-002	  2.39649E-001	 -2.13982E-002	  2.29881E-002	  2.00899E-001	
  2.88000E-002	  1.51012E-002	 -7.81921E-002	  1.08827E-002	 -1.82904E-002	  1.20121E-001	  3.20551E-002	  8.88642E-002	  1.19237E-001	 -1.92608E-001	 -3.09450E-002	  9.98886E-002	
  3.20000E-002	  5.23839E-002	  1.84416E-001	 -8.24706E-002	 -5.11827E-002	 -1.95770E-002	  3.73073E-002	  1.91577E-002	  3.04086E-002	  7.59213E-002	  2.80475E-001	  4.93835E-002	
  3.52000E-002	 -4.57060E-002	 -8.35515E-002	 -5.04637E-002	  9.30375E-002	 -2.20234E-001	 -7.29886E-002	 -6.01636E-002	  1.85648E-002	 -1.16916E-001	  3.86461E-002	 -2.99215E-003	
  3.84000E-002	  5.81611E-002	  1.95135E-001	  1.17572E-001	 -2.59129E-002	 -7.29161E-002	  1.89247E-002	  2.61929E-001	 -1.59092E-001	  8.13279E-002	 -1.00677E-002	  1.74711E-001	
  4.16000E-002	  3.55661E-002	 -5.94344E-002	  4.08301E-001	 -8.15750E-002	 -1.26255E-001	  1.58108E-001	 -4.57415E-002	  1.06690E-002	  1.93065E-001	 -1.52729E-001	  5.12541E-002	
  4.48000E-002	  1.07634E-001	  2.63151E-002	  3.76294E-001	  4.23997E-002	 -1.23715E-001	  5.83161E-002	 -4.81452E-002	  1.84378E-001	  1.94867E-001	  1.77828E-001	  1.87805E-001	
  4.80000E-002	  9.06952E-003	  2.94283E-001	 -1.04552E-002	  2.80229E-001	 -9.06958E-002	 -4.41016E-002	 -4.33378E-002	 -3.07139E-001	  6.69102E-002	  3.70990E-004	 -5.53678E-002	
  5.12000E-002	  3.93521E-002	  6.51686E-002	  4.15541E-002	  1.76531E-001	 -3.06901E-003	  3.59925E-002	  6.00183E-002	  2.77139E-003	  5.43075E-002	  9.06813E-003	 -4.88225E-002	
  5.76000E-002	  7.50989E-002	  1.81734E-001	  4.15541E-002	  1.46002E-002	 -8.14892E-003	  8.41856E-003	  2.39633E-002	  2.22868E-001	  1.37573E-002	  4.38636E-002	  2.08379E-001	
  6.40000E-002	  7.44388E-002	  8.89553E-003	  7.88954E-002	  1.05687E-001	  1.15039E-001	  8.41856E-003	 -1.02229E-001	  2.12998E-001	  1.69651E-001	  4.99528E-002	  9.70809E-002	
  7.04000E-002	 -9.50303E-003	  2.09540E-002	 -2.77939E-002	  1.08050E-002	 -5.25981E-002	 -1.55712E-001	  2.87706E-002	  7.87688E-002	  1.09276E-001	 -3.52961E-002	 -7.22044E-002	
  7.68000E-002	  6.17756E-002	  1.57617E-001	  2.53599E-001	  1.98038E-001	 -4.62482E-002	  3.20534E-002	  1.22514E-001	 -1.61067E-001	 -3.67187E-002	  1.55209E-001	 -5.72400E-002	
  8.32000E-002	  1.84622E-002	 -1.79012E-002	 -5.44662E-002	  8.16499E-002	  1.22659E-001	 -8.65102E-003	 -9.14129E-002	  3.92896E-002	  3.08642E-002	  2.38562E-002	  5.87345E-002	
  8.96000E-002	  1.38005E-002	 -4.73775E-002	  1.62154E-002	  2.72174E-002	  1.17579E-001	 -7.82424E-002	  1.76596E-001	 -1.79552E-002	  5.87985E-002	 -6.22625E-002	 -5.25636E-002	
  9.60000E-002	 -3.04608E-002	 -2.33615E-001	  1.26906E-001	 -1.29648E-001	 -4.37082E-002	 -5.46076E-002	 -9.14129E-002	  2.25110E-002	  7.05128E-002	 -1.14456E-001	  1.42909E-001	
  1.02400E-001	 -1.41965E-002	 -9.56147E-002	 -4.90707E-002	 -2.96811E-002	 -6.97459E-002	 -1.71727E-002	 -2.65171E-002	  4.02731E-002	  3.84153E-003	 -3.79090E-002	  1.39632E-001	
  1.15200E-001	 -8.80753E-003	 -1.42509E-001	  9.36353E-002	 -2.96811E-002	  1.85171E-002	  7.14590E-002	 -9.09056E-003	 -4.21395E-002	 -5.92365E-002	  2.47226E-002	 -1.37529E-002	
